Local time,Ask,Bid,AskVolume,BidVolume
22.01.2024 08:30:19.198 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:19.299 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:19.400 GMT-0600,192.393,192.347,0.012,0.012
22.01.2024 08:30:19.450 GMT-0600,192.373,192.327,0.012,0.012
22.01.2024 08:30:19.551 GMT-0600,192.363,192.317,0.012,0.012
22.01.2024 08:30:19.701 GMT-0600,192.394,192.356,0.012,0.012
22.01.2024 08:30:19.802 GMT-0600,192.40400000000002,192.356,0.012,0.012
22.01.2024 08:30:19.852 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:19.953 GMT-0600,192.40400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:20.003 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:20.054 GMT-0600,192.423,192.39700000000002,0.012,0.012
22.01.2024 08:30:20.104 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:20.155 GMT-0600,192.423,192.387,0.012,0.012
22.01.2024 08:30:20.305 GMT-0600,192.41400000000002,192.386,0.012,0.012
22.01.2024 08:30:20.406 GMT-0600,192.44400000000002,192.40599999999998,0.012,0.012
22.01.2024 08:30:20.456 GMT-0600,192.453,192.417,0.012,0.012
22.01.2024 08:30:20.507 GMT-0600,192.483,192.42700000000002,0.012,0.012
22.01.2024 08:30:20.657 GMT-0600,192.483,192.447,0.012,0.012
22.01.2024 08:30:20.708 GMT-0600,192.483,192.437,0.012,0.012
22.01.2024 08:30:20.909 GMT-0600,192.50400000000002,192.446,0.012,0.012
22.01.2024 08:30:21.009 GMT-0600,192.523,192.467,0.012,0.012
22.01.2024 08:30:21.110 GMT-0600,192.514,192.476,0.012,0.012
22.01.2024 08:30:21.160 GMT-0600,192.52400000000003,192.476,0.012,0.012
22.01.2024 08:30:21.211 GMT-0600,192.523,192.48700000000002,0.012,0.012
22.01.2024 08:30:21.361 GMT-0600,192.52400000000003,192.476,0.012,0.012
22.01.2024 08:30:21.462 GMT-0600,192.523,192.48700000000002,0.012,0.012
22.01.2024 08:30:21.563 GMT-0600,192.514,192.46599999999998,0.012,0.012
22.01.2024 08:30:21.663 GMT-0600,192.53400000000002,192.49599999999998,0.012,0.012
22.01.2024 08:30:21.965 GMT-0600,192.53400000000002,192.506,0.012,0.012
22.01.2024 08:30:22.065 GMT-0600,192.533,192.497,0.012,0.012
22.01.2024 08:30:22.417 GMT-0600,192.50400000000002,192.46599999999998,0.012,0.012
22.01.2024 08:30:22.567 GMT-0600,192.52400000000003,192.486,0.012,0.012
22.01.2024 08:30:22.618 GMT-0600,192.514,192.46599999999998,0.012,0.012
22.01.2024 08:30:22.718 GMT-0600,192.52400000000003,192.46599999999998,0.012,0.012
22.01.2024 08:30:22.819 GMT-0600,192.53400000000002,192.49599999999998,0.012,0.012
22.01.2024 08:30:22.920 GMT-0600,192.53400000000002,192.486,0.012,0.012
22.01.2024 08:30:22.970 GMT-0600,192.503,192.48700000000002,0.012,0.012
22.01.2024 08:30:23.121 GMT-0600,192.503,192.477,0.012,0.012
22.01.2024 08:30:23.222 GMT-0600,192.50400000000002,192.46599999999998,0.012,0.012
22.01.2024 08:30:23.322 GMT-0600,192.514,192.476,0.012,0.012
22.01.2024 08:30:23.473 GMT-0600,192.513,192.48700000000002,0.012,0.012
22.01.2024 08:30:23.523 GMT-0600,192.514,192.476,0.012,0.012
22.01.2024 08:30:23.573 GMT-0600,192.50400000000002,192.46599999999998,0.012,0.012
22.01.2024 08:30:23.674 GMT-0600,192.493,192.467,0.012,0.012
22.01.2024 08:30:23.917 GMT-0600,192.47400000000002,192.446,0.012,0.012
22.01.2024 08:30:24.068 GMT-0600,192.47299999999998,192.437,0.012,0.012
22.01.2024 08:30:24.119 GMT-0600,192.46400000000003,192.43599999999998,0.012,0.012
22.01.2024 08:30:24.270 GMT-0600,192.484,192.446,0.012,0.012
22.01.2024 08:30:24.320 GMT-0600,192.49400000000003,192.456,0.012,0.012
22.01.2024 08:30:24.422 GMT-0600,192.483,192.437,0.012,0.012
22.01.2024 08:30:24.472 GMT-0600,192.483,192.447,0.012,0.012
22.01.2024 08:30:24.673 GMT-0600,192.44299999999998,192.417,0.012,0.012
22.01.2024 08:30:24.774 GMT-0600,192.463,192.437,0.012,0.012
22.01.2024 08:30:24.824 GMT-0600,192.47400000000002,192.43599999999998,0.012,0.012
22.01.2024 08:30:24.875 GMT-0600,192.484,192.43599999999998,0.012,0.012
22.01.2024 08:30:25.075 GMT-0600,192.43400000000003,192.40599999999998,0.012,0.012
22.01.2024 08:30:25.126 GMT-0600,192.44400000000002,192.40599999999998,0.012,0.012
22.01.2024 08:30:25.176 GMT-0600,192.454,192.416,0.012,0.012
22.01.2024 08:30:25.226 GMT-0600,192.463,192.417,0.012,0.012
22.01.2024 08:30:25.277 GMT-0600,192.46400000000003,192.426,0.012,0.012
22.01.2024 08:30:25.478 GMT-0600,192.463,192.417,0.012,0.012
22.01.2024 08:30:25.628 GMT-0600,192.46400000000003,192.426,0.012,0.012
22.01.2024 08:30:25.880 GMT-0600,192.463,192.417,0.012,0.012
22.01.2024 08:30:26.031 GMT-0600,192.43400000000003,192.396,0.012,0.012
22.01.2024 08:30:26.132 GMT-0600,192.424,192.386,0.012,0.012
22.01.2024 08:30:26.282 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:26.383 GMT-0600,192.394,192.36599999999999,0.012,0.012
22.01.2024 08:30:26.484 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:26.635 GMT-0600,192.394,192.36599999999999,0.012,0.012
22.01.2024 08:30:26.685 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:26.936 GMT-0600,192.413,192.377,0.012,0.012
22.01.2024 08:30:26.986 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:27.086 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:27.237 GMT-0600,192.41400000000002,192.37599999999998,0.012,0.012
22.01.2024 08:30:27.390 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:27.490 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:27.591 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:27.741 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:27.842 GMT-0600,192.423,192.36700000000002,0.012,0.012
22.01.2024 08:30:27.942 GMT-0600,192.403,192.36700000000002,0.012,0.012
22.01.2024 08:30:28.344 GMT-0600,192.41400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:28.394 GMT-0600,192.40400000000002,192.36599999999999,0.012,0.012
22.01.2024 08:30:28.595 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:29.096 GMT-0600,192.37400000000002,192.33599999999998,0.012,0.012
22.01.2024 08:30:29.247 GMT-0600,192.37400000000002,192.346,0.012,0.012
22.01.2024 08:30:29.297 GMT-0600,192.37400000000002,192.33599999999998,0.012,0.012
22.01.2024 08:30:29.347 GMT-0600,192.373,192.347,0.012,0.012
22.01.2024 08:30:29.598 GMT-0600,192.38400000000001,192.346,0.012,0.012
22.01.2024 08:30:29.749 GMT-0600,192.394,192.346,0.012,0.012
22.01.2024 08:30:30.099 GMT-0600,192.40400000000002,192.346,0.012,0.012
22.01.2024 08:30:30.251 GMT-0600,192.394,192.346,0.012,0.012
22.01.2024 08:30:30.552 GMT-0600,192.413,192.36700000000002,0.012,0.012
22.01.2024 08:30:30.702 GMT-0600,192.383,192.347,0.012,0.012
22.01.2024 08:30:30.903 GMT-0600,192.363,192.33700000000002,0.012,0.012
22.01.2024 08:30:31.003 GMT-0600,192.353,192.317,0.012,0.012
22.01.2024 08:30:31.104 GMT-0600,192.343,192.317,0.012,0.012
22.01.2024 08:30:31.154 GMT-0600,192.34400000000002,192.30599999999998,0.012,0.012
22.01.2024 08:30:31.204 GMT-0600,192.33400000000003,192.296,0.012,0.012
22.01.2024 08:30:31.305 GMT-0600,192.323,192.287,0.012,0.012
22.01.2024 08:30:31.456 GMT-0600,192.343,192.30700000000002,0.012,0.012
22.01.2024 08:30:31.606 GMT-0600,192.343,192.317,0.012,0.012
22.01.2024 08:30:31.657 GMT-0600,192.34400000000002,192.30599999999998,0.012,0.012
22.01.2024 08:30:31.807 GMT-0600,192.343,192.317,0.012,0.012
22.01.2024 08:30:32.058 GMT-0600,192.363,192.33700000000002,0.012,0.012
22.01.2024 08:30:32.109 GMT-0600,192.373,192.33700000000002,0.012,0.012
22.01.2024 08:30:32.510 GMT-0600,192.363,192.33700000000002,0.012,0.012
22.01.2024 08:30:32.561 GMT-0600,192.37400000000002,192.33599999999998,0.012,0.012
22.01.2024 08:30:32.661 GMT-0600,192.383,192.357,0.012,0.012
22.01.2024 08:30:32.712 GMT-0600,192.373,192.33700000000002,0.012,0.012
22.01.2024 08:30:32.762 GMT-0600,192.383,192.347,0.012,0.012
22.01.2024 08:30:32.913 GMT-0600,192.37400000000002,192.346,0.012,0.012
22.01.2024 08:30:33.063 GMT-0600,192.36400000000003,192.33599999999998,0.012,0.012
22.01.2024 08:30:33.214 GMT-0600,192.373,192.33700000000002,0.012,0.012
22.01.2024 08:30:33.264 GMT-0600,192.34400000000002,192.316,0.012,0.012
22.01.2024 08:30:33.415 GMT-0600,192.333,192.317,0.012,0.012
22.01.2024 08:30:33.465 GMT-0600,192.37400000000002,192.326,0.012,0.012
22.01.2024 08:30:33.716 GMT-0600,192.354,192.326,0.012,0.012
22.01.2024 08:30:33.867 GMT-0600,192.333,192.317,0.012,0.012
22.01.2024 08:30:34.118 GMT-0600,192.333,192.30700000000002,0.012,0.012
22.01.2024 08:30:34.218 GMT-0600,192.333,192.29700000000003,0.012,0.012
22.01.2024 08:30:34.269 GMT-0600,192.30400000000003,192.286,0.012,0.012
22.01.2024 08:30:34.470 GMT-0600,192.31400000000002,192.286,0.012,0.012
22.01.2024 08:30:34.520 GMT-0600,192.323,192.29700000000003,0.012,0.012
22.01.2024 08:30:34.570 GMT-0600,192.333,192.29700000000003,0.012,0.012
22.01.2024 08:30:34.621 GMT-0600,192.333,192.30700000000002,0.012,0.012
